"Station","line"
"North Wembley","Bakerloo"
"Northfields","Piccadilly"
"Northolt","Central"
"Northwick Park","Metropolitan"
"Northwood","Metropolitan"
"Northwood Hills","Metropolitan"
"Notting Hill Gate","District"
"Notting Hill Gate","Central"
"Notting Hill Gate","Circle"
"Oakwood","Piccadilly"
"Old Street","Northern"
"Osterley","Piccadilly"
"Oval","Northern"
"Oxford Circus","Central"
"Oxford Circus","Bakerloo"
"Oxford Circus","Victoria"
"Paddington","District"
"Paddington","Circle"
"Paddington","Bakerloo"
"Paddington","Hammersmith & City"
"Paddington","Circle"
"Park Royal","Piccadilly"
"Parsons Green","District"
"Perivale","Central"
"Piccadilly Circus","Bakerloo"
"Piccadilly Circus","Piccadilly"
"Pimlico","Victoria"
"Pinner","Metropolitan"
"Plaistow","District"
"Plaistow","Hammersmith & City"
"Preston Road","Metropolitan"
"Putney Bridge","District"
"Queen's Park","Bakerloo"
"Queensbury","Jubilee"
"Queensway","Central"
"Ravenscourt Park","District"
"Rayners Lane","Metropolitan"
"Rayners Lane","Piccadilly"
"Redbridge","Central"
"Regent's Park","Bakerloo"
"Richmond","District"
"Rickmansworth","Metropolitan"
"Roding Valley","Central"
"Royal Oak","Hammersmith & City"
"Royal Oak","Circle"
"Ruislip","Metropolitan"
"Ruislip","Piccadilly"
"Ruislip Gardens","Central"
"Ruislip Manor","Metropolitan"
"Ruislip Manor","Piccadilly"
"Russell Square","Piccadilly"
"St. James's Park","District"
"St. James's Park","Circle"
"St. John's Wood","Jubilee"
"St. Paul's","Central"
"Seven Sisters","Victoria"
"Shepherd's Bush","Central"
"Shepherd's Bush Market","Hammersmith & City"
"Shepherd's Bush Market","Circle"
"Sloane Square","District"
"Sloane Square","Circle"
"Snaresbrook","Central"
"South Ealing","Piccadilly"
"South Harrow","Piccadilly"
"South Kensington","District"
"South Kensington","Piccadilly"
"South Kensington","Circle"
"South Kenton","Bakerloo"
"South Ruislip","Central"
"South Wimbledon","Northern"
"South Woodford","Central"
"Southfields","District"
"Southgate","Piccadilly"
"Southwark","Jubilee"
"Stamford Brook","District"
"Stanmore","Jubilee"
"Stepney Green","District"
"Stepney Green","Hammersmith & City"
"Stockwell","Northern"
"Stockwell","Victoria"
"Stonebridge Park","Bakerloo"
"Stratford","Central"
"Stratford","Jubilee"
"Sudbury Hill","Piccadilly"
"Sudbury Town","Piccadilly"
"Swiss Cottage","Jubilee"
"Temple","District"
"Temple","Circle"
"Theydon Bois","Central"
"Tooting Bec","Northern"
"Tooting Broadway","Northern"
"Tottenham Court Road","Central"
"Tottenham Court Road","Northern"
"Tottenham Hale","Victoria"
"Totteridge & Whetstone","Northern"
"Tower Hill","District"
"Tower Hill","Circle"
"Tufnell Park","Northern"
"Turnham Green","District"
"Turnham Green","Piccadilly"
"Turnpike Lane","Piccadilly"
"Upminster","District"
"Upminster Bridge","District"
"Upney","District"
"Upton Park","District"
"Upton Park","Hammersmith & City"
"Uxbridge","Metropolitan"
"Uxbridge","Piccadilly"
"Vauxhall","Victoria"
"Victoria","District"
"Victoria","Circle"
"Victoria","Victoria"
"Walthamstow Central","Victoria"
"Wanstead","Central"
"Warren Street","Northern"
"Warren Street","Victoria"
"Warwick Avenue","Bakerloo"
"Waterloo","Waterloo & City"
"Waterloo","Bakerloo"
"Waterloo","Northern"
"Waterloo","Jubilee"
"Watford","Metropolitan"
"Wembley Central","Bakerloo"
"Wembley Park","Metropolitan"
"Wembley Park","Jubilee"
"West Acton","Central"
"West Brompton","District"
"West Finchley","Northern"
"West Ham","District"
"West Ham","Hammersmith & City"
"West Ham","Jubilee"
"West Hampstead","Jubilee"
"West Harrow","Metropolitan"
"West Kensington","District"
"West Ruislip","Central"
