"station","total","year"
"Great Portland Street",7.57796,"2013"
"Green Park",35.459916,"2013"
"Greenford",4.346343,"2013"
"Gunnersbury",4.553739,"2013"
"Hainault",3.146946,"2013"
"Hammersmith (Dis)",29.286237,"2013"
"Hammersmith (H&C)",8.957266,"2013"
"Hampstead",4.285503,"2013"
"Hanger Lane",3.629301,"2013"
"Harlesden",2.603902,"2013"
"Harrow & Wealdstone",4.659489,"2013"
"Harrow-on-the-Hill",9.205889,"2013"
"Hatton Cross",3.076485,"2013"
"Heathrow Terminal 4",2.427793,"2013"
"Heathrow Terminal 5",4.047773,"2013"
"Heathrow Terminals 123",8.143722,"2013"
"Hendon Central",6.843039,"2013"
"High Barnet",2.796356,"2013"
"High Street Kensington",13.45877,"2013"
"Highbury & Islington",18.134071,"2013"
"Highgate",4.637186,"2013"
"Hillingdon",1.634164,"2013"
"Holborn",34.022691,"2013"
"Holland Park",3.393821,"2013"
"Holloway Road",7.146236,"2013"
"Hornchurch",1.988632,"2013"
"Hounslow Central",3.929167,"2013"
"Hounslow East",4.34098,"2013"
"Hounslow West",3.337658,"2013"
"Hyde Park Corner",5.8027855,"2013"
"Ickenham",1.073393,"2013"
"Kennington",4.679885,"2013"
"Kensal Green",2.562212,"2013"
"Kensington (Olympia)",1.876505,"2013"
"Kentish Town",6.44958,"2013"
"Kenton",2.017375,"2013"
"Kew Gardens",3.522717,"2013"
"Kilburn",7.790047,"2013"
"Kilburn Park",3.480874,"2013"
"King's Cross St. Pancras",84.8668228005952,"2013"
"Kingsbury",4.117979,"2013"
"Knightsbridge",21.469435,"2013"
"Ladbroke Grove",5.665472,"2013"
"Lambeth North",3.023974,"2013"
"Lancaster Gate",6.7946,"2013"
"Latimer Road",2.192582,"2013"
"Leicester Square",38.5967,"2013"
"Leyton",13.531459,"2013"
"Leytonstone",10.379073,"2013"
"Liverpool Street",67.893591,"2013"
"London Bridge",69.884482,"2013"
"Loughton",3.166344,"2013"
"Maida Vale",3.347805,"2013"
"Manor House",9.259062,"2013"
"Mansion House",5.769586,"2013"
"Marble Arch",16.361603,"2013"
"Marylebone",13.3983,"2013"
"Mile End",14.370438,"2013"
"Mill Hill East",1.16533,"2013"
"Moor Park",0.824391,"2013"
"Moorgate",21.3812492496,"2013"
"Morden",7.696341,"2013"
"Mornington Crescent",4.651775,"2013"
"Neasden",3.107451,"2013"
"Newbury Park",4.395879,"2013"
"North Acton",5.465012,"2013"
"North Ealing",0.860944,"2013"
"North Greenwich",22.398063,"2013"
"North Harrow",1.685908,"2013"
"North Wembley",1.647314,"2013"
"Northfields",4.102498,"2013"
"Northolt",4.611479,"2013"
"Northwick Park",3.946956,"2013"
"Northwood",2.280491,"2013"
"Northwood Hills",1.483623,"2013"
"Notting Hill Gate",17.394388,"2013"
"Oakwood",2.785115,"2013"
"Old Street",21.855888,"2013"
"Osterley",2.317893,"2013"
"Oval",5.911952,"2013"
"Oxford Circus",85.246928,"2013"
"Paddington",49.710749,"2013"
"Park Royal",1.643912,"2013"
"Parsons Green",6.452463,"2013"
"Perivale",2.243955,"2013"
"Piccadilly Circus",41.703911,"2013"
"Pimlico",10.212959,"2013"
"Pinner",2.606534,"2013"
"Plaistow",6.246718,"2013"
"Preston Road",3.154183,"2013"
"Putney Bridge",5.923504,"2013"
"Queen's Park",5.578067,"2013"
"Queensbury",3.853332,"2013"
"Queensway",8.575808,"2013"
"Ravenscourt Park",2.76742,"2013"
"Rayners Lane",4.081729,"2013"
"Redbridge",2.672035,"2013"
"Regent's Park",3.794744,"2013"
"Richmond",7.953442,"2013"
"Rickmansworth",2.243984,"2013"
"Roding Valley",0.235697,"2013"
"Royal Oak",2.431149,"2013"
"Ruislip",1.713378,"2013"
"Ruislip Gardens",1.003184,"2013"
"Ruislip Manor",1.7744,"2013"
"Russell Square",12.951499,"2013"
"Seven Sisters",14.46444,"2013"
"Shepherd's Bush (Cen)",22.872181,"2013"
"Shepherd's Bush (H&C)",3.438569,"2013"
"Sloane Square",16.56026,"2013"
"Snaresbrook",2.588391,"2013"
"South Ealing",3.476673,"2013"
"South Harrow",2.287706,"2013"
"South Kensington",32.751295,"2013"
"South Kenton",1.022501,"2013"
"South Ruislip",1.766082,"2013"
"South Wimbledon",3.788099,"2013"
"South Woodford",4.590459,"2013"
"Southfields",5.789944,"2013"
"Southgate",5.386357,"2013"
"Southwark",13.457338,"2013"
"St. James's Park",14.726104,"2013"
"St. John's Wood",7.269493,"2013"
"St. Paul's",16.439099,"2013"
"Stamford Brook",2.664997,"2013"
"Stanmore",3.542897,"2013"
"Stepney Green",5.002409,"2013"
"Stockwell",9.424813,"2013"
"Stonebridge Park",2.544366,"2013"
"Stratford",54.503326,"2013"
"Sudbury Hill",2.007949,"2013"
"Sudbury Town",1.979322,"2013"
"Swiss Cottage",7.834077,"2013"
"Temple",7.922122,"2013"
"Theydon Bois",0.823919,"2013"
"Tooting Bec",6.901892,"2013"
"Tooting Broadway",13.505007,"2013"
"Tottenham Court Road",38.063296,"2013"
"Tottenham Hale",10.320809,"2013"
"Totteridge & Whetstone",1.95073,"2013"
"Tower Hill",23.414868,"2013"
"Tufnell Park",3.939656,"2013"
"Turnham Green",6.195486,"2013"
"Turnpike Lane",10.291376,"2013"
"Upminster",4.95976,"2013"
"Upminster Bridge",1.10376,"2013"
"Upney",2.296702,"2013"
"Upton Park",10.480206,"2013"
"Uxbridge",7.58743,"2013"
"Vauxhall",25.146161,"2013"
"Victoria",84.582132,"2013"
"Walthamstow Central",16.681073,"2013"
"Wanstead",2.732853,"2013"
"Warren Street",17.596565,"2013"
"Warwick Avenue",4.622339,"2013"
"Waterloo",89.398131,"2013"
"Watford",1.655119,"2013"
"Wembley Central",4.592227,"2013"
"Wembley Park",11.735107,"2013"
"West Acton",1.692583,"2013"
"West Brompton",4.610447,"2013"
"West Finchley",1.370913,"2013"
"West Ham",3.400895,"2013"
"West Hampstead",10.159492,"2013"
"West Harrow",1.130886,"2013"
"West Kensington",5.040507,"2013"
"West Ruislip",1.600225,"2013"
"Westbourne Park",3.734232,"2013"
"Westminster",23.501317,"2013"
"White City",7.221772,"2013"
"Whitechapel",14.448854,"2013"
"Willesden Green",8.560802,"2013"
"Willesden Junction",4.170593,"2013"
"Wimbledon",14.195582,"2013"
"Wimbledon Park",2.128289,"2013"
"Wood Green",12.4425,"2013"
"Wood Lane",3.444011,"2013"
"Woodford",5.585475,"2013"
"Woodside Park",2.633565,"2013"
