"Year","Month","date","tube","temperature"
2017,"June",2017-06-01,"Central",29.76
2017,"July",2017-07-01,"Central",30.61
2017,"August",2017-08-01,"Central",30.02
2017,"September",2017-09-01,"Central",28.8
2017,"October",2017-10-01,"Central",27.87
2017,"November",2017-11-01,"Central",25.24
2017,"December",2017-12-01,"Central",23.1
2018,"January",2018-01-01,"Central",22.89
2018,"February",2018-02-01,"Central",21.93
2018,"March",2018-03-01,"Central",22.3
2018,"April",2018-04-01,"Central",24.87
2018,"May",2018-05-01,"Central",24.75
2018,"June",2018-06-01,"Central",NA
2018,"July",2018-07-01,"Central",NA
2013,"January",2013-01-01,"Jubilee",16.4
2013,"February",2013-02-01,"Jubilee",17.9
2013,"March",2013-03-01,"Jubilee",18.2
2013,"April",2013-04-01,"Jubilee",20.3
2013,"May",2013-05-01,"Jubilee",21.9
2013,"June",2013-06-01,"Jubilee",23.1
2013,"July",2013-07-01,"Jubilee",26.3
2013,"August",2013-08-01,"Jubilee",26.1
2013,"September",2013-09-01,"Jubilee",24.5
2013,"October",2013-10-01,"Jubilee",23.1
2013,"November",2013-11-01,"Jubilee",20.1
2013,"December",2013-12-01,"Jubilee",19.7
2014,"January",2014-01-01,"Jubilee",19.6
2014,"February",2014-02-01,"Jubilee",18.2
2014,"March",2014-03-01,"Jubilee",19.5
2014,"April",2014-04-01,"Jubilee",20.8
2014,"May",2014-05-01,"Jubilee",21.9
2014,"June",2014-06-01,"Jubilee",24.5
2014,"July",2014-07-01,"Jubilee",26.3
2014,"August",2014-08-01,"Jubilee",25.1
2014,"September",2014-09-01,"Jubilee",25.1
2014,"October",2014-10-01,"Jubilee",23.2
2014,"November",2014-11-01,"Jubilee",20.9
2014,"December",2014-12-01,"Jubilee",18.5
2015,"January",2015-01-01,"Jubilee",19.05
2015,"February",2015-02-01,"Jubilee",19.18
2015,"March",2015-03-01,"Jubilee",20.31
2015,"April",2015-04-01,"Jubilee",21.39
2015,"May",2015-05-01,"Jubilee",22.53
2015,"June",2015-06-01,"Jubilee",24.39
2015,"July",2015-07-01,"Jubilee",26.03
2015,"August",2015-08-01,"Jubilee",26.17
2015,"September",2015-09-01,"Jubilee",25.34
2015,"October",2015-10-01,"Jubilee",24.52
2015,"November",2015-11-01,"Jubilee",22.12
2015,"December",2015-12-01,"Jubilee",21.33
